program_id,program_name,region,sector,year,budget_usd,people_served,status
P001,Weatherization Initiative,Northeast,energy,2019,153393,1878,planned
P002,Solar Access Program,Southwest,energy,2019,41663,294,cancelled
P003,Screening Pilot,Southwest,health,2023,319254,1678,active
P004,Community Health Program,West,health,2023,449374,7171,planned
P005,Grid Resilience Initiative,West,energy,2021,106516,1813,planned
P006,Screening Project,West,health,2019,469331,2867,planned
P007,Screening Project,West,health,2023,223461,695,active
P008,Solar Access Program,Southwest,energy,2021,394398,619,completed
P009,Workforce Training Project,Northeast,education,2020,224295,2327,active
P010,Community Health Partnership,Midwest,health,2021,376364,2237,completed
P011,Efficiency Project,Southeast,energy,2023,110669,3836,completed
P012,Solar Access Program,Southwest,energy,2020,466897,6344,planned
P013,Screening Project,Midwest,health,2022,59701,1778,planned
P014,Wellness Program,West,health,2022,99905,2219,cancelled
P015,Efficiency Partnership,Southwest,energy,2023,416650,4838,planned
P016,Literacy Initiative,Midwest,education,2020,292138,4092,completed
P017,Nutrition Pilot,Southeast,health,2020,337690,570,cancelled
P018,Solar Access Initiative,West,energy,2023,315049,7101,planned
P019,Efficiency Program,Southwest,energy,2021,83485,2454,planned
P020,Literacy Project,Northeast,education,2021,291171,7526,completed
P021,Weatherization Partnership,Southwest,energy,2023,105131,3113,completed
P022,Solar Access Project,Northeast,energy,2023,281170,209,planned
P023,Literacy Initiative,Southeast,education,2019,485329,4697,completed
P024,Efficiency Partnership,West,energy,2019,92314,5454,completed
P025,Screening Program,Midwest,health,2023,136043,7659,cancelled
P026,Clean Heat Pilot,Midwest,energy,2022,254690,7419,planned
P027,Screening Partnership,Southeast,health,2020,202254,222,active
P028,Community Health Program,Southwest,health,2020,62220,5848,active
P029,Clinic Access Pilot,Northeast,health,2021,294565,1999,active
P030,Nutrition Pilot,Southwest,health,2020,152400,6477,cancelled
P031,Nutrition Pilot,Northeast,health,2019,210753,3519,cancelled
P032,Grid Resilience Initiative,Northeast,energy,2019,236089,6015,active
P033,Wellness Project,Southeast,health,2020,98495,3506,cancelled
P034,Tutoring Initiative,Southeast,education,2019,448636,7106,cancelled
P035,Wellness Program,Southwest,health,2019,420085,7002,active
P036,Literacy Program,West,education,2022,478325,3335,completed
P037,Workforce Training Project,Northeast,education,2022,436078,6481,planned
P038,STEM Pathways Initiative,Southwest,education,2022,124561,2480,completed
P039,Clean Heat Pilot,Southwest,energy,2019,54971,460,planned
P040,Weatherization Initiative,Southwest,energy,2020,291248,706,active
P041,Clean Heat Program,Northeast,energy,2020,87855,7763,cancelled
P042,Clean Heat Partnership,Southwest,energy,2019,244794,5435,active
P043,Grid Resilience Program,Midwest,energy,2021,376129,5917,completed
P044,Literacy Initiative,West,education,2020,264717,2640,planned
P045,STEM Pathways Partnership,Southwest,education,2023,63409,4454,active
